File Name,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length
0.txt,0.080469414,0.394651221,14.54237288,34.07148407,11.11,14.54237288,877,2574,2.098290598,8,6.635198135
1.txt,0.08219697,0.438116744,9.365384615,32.85420945,10.8,9.365384615,160,487,2.143737166,2,7.114989733
10.txt,0.118665648,0.421178821,9.358490566,27.62096774,8.78,9.358490566,137,496,2.006048387,2,6.83266129
100.txt,0.044646465,0.342525253,21.64705882,11.14130435,10.87,21.64705882,41,368,1.5,10,5.043478261
101.txt,-0.02345679,0.311882716,29.44444444,18.11320755,13.78,29.44444444,48,265,1.720754717,5,5.811320755
102.txt,0.144047619,0.370238095,29.86666667,19.64285714,13.07,29.86666667,88,448,1.743303571,17,5.689732143
103.txt,0.042857143,0.208730159,35,15.51020408,14.14,35,38,245,1.640816327,1,5.493877551
104.txt,0.108847032,0.444748858,21.45454545,14.51271186,10.28,21.45454545,137,944,1.593220339,31,5.402542373
105.txt,0.253831418,0.433333333,21.4137931,9.339774557,9.98,21.4137931,58,621,1.450885668,21,4.863123994
106.txt,-0.057575758,0.393939394,19.0625,15.40983607,11.26,19.0625,47,305,1.619672131,2,5.616393443
107.txt,0.132352941,0.393137255,41.66666667,18,22.06,41.66666667,45,250,1.704,3,5.792
108.txt,0.061050725,0.454710145,16.7,11.07784431,9.75,16.7,37,334,1.517964072,9,5.170658683
109.txt,0.085502646,0.457890258,38.76923077,15.87301587,16.19,38.76923077,80,504,1.591269841,15,5.486111111
11.txt,0.062675536,0.404175905,20.08823529,21.22986823,12.43,20.08823529,145,683,1.86090776,4,6.74670571
110.txt,0.120282187,0.369797178,31.23529412,11.86440678,14.19,31.23529412,63,531,1.514124294,15,5.444444444
111.txt,0.179179749,0.412842316,29.07692308,11.11111111,13.92,29.07692308,42,378,1.486772487,13,5.17989418
112.txt,0.23077265,0.440980349,59.6,11.91275168,13.66,59.6,71,596,1.530201342,16,5.224832215
113.txt,-0.077777778,0.492171717,40.2,12.93532338,11.68,40.2,26,201,1.68159204,4,6.039800995
114.txt,0.039952153,0.432797904,28.90909091,24.8427673,20.21,28.90909091,79,318,1.940251572,3,6.698113208
115.txt,0.027897363,0.317050918,34.42857143,11.06500692,11.53,34.42857143,80,723,1.542185339,15,5.427385892
116.txt,0.02870351,0.350666249,31.09090909,12.43599122,13.2,31.09090909,170,1367,1.523774689,15,5.437454279
117.txt,0.05656308,0.403329855,33.22727273,17.78385773,15.14,33.22727273,130,731,1.69493844,7,5.896032832
